Name,l_deg,b_deg,dsun,RGC,X,Y,Z,E(B-V),(m-M)0,[Fe/H],[M/H],JRC,HRC,KRC,JBump,HBump,KBump,JTip,HTip,KTip,MBolBump,MBolTip
NGC6256,-12.21,3.31,9.1,2.2,8.9,-1.9,0.5,1.20,14.79,-1.63,-1.43,-,-,-,-,-,-,10.63,9.51,9.21,-,-3.56
NGC6266,-6.42,7.32,6.6,1.8,6.5,-0.7,0.8,0.47,14.11,-0.99,-0.80,-,-,-,13.50,12.75,12.65,9.26,8.10,7.85,0.44,-3.56
NGC6273,-3.13,9.38,8.2,1.4,8.1,-0.4,1.3,0.40,14.58,-1.40,-1.21,-,-,-,13.65,13.05,12.85,9.67,8.83,8.57,0.10,-3.59
NGC6293,-2.38,7.83,10.5,2.8,10.4,-0.4,1.3,0.30,15.10,-1.73,-1.55,-,-,-,-,-,-,10.17,9.43,9.24,-,-3.23
NGC6304,-4.17,5.38,6.0,2.2,5.9,-0.4,0.6,0.58,13.88,-0.75,-0.56,13.55,12.85,12.70,14.03,13.33,13.13,9.06,8.02,7.65,1.10,-3.59
NGC6316,-2.82,5.76,11.6,3.8,11.6,-0.6,1.2,0.56,15.33,-0.58,-0.38,14.93,14.25,-,15.20,14.65,-,10.28,9.17,-,-,-
NGC6342,4.90,9.73,8.4,1.6,8.3,0.7,1.4,0.57,14.63,-0.71,-0.53,14.25,13.60,13.40,14.65,13.85,13.75,9.71,8.67,8.35,0.98,-3.69
NGC6355,-0.42,5.43,9.0,1.1,8.7,-0.1,0.8,0.81,14.77,-1.42,-1.22,-,-,-,-,-,-,10.19,9.30,8.92,-,-3.61
NGC6380,-9.82,-3.42,9.2,1.9,9.0,-1.6,-0.5,1.29,14.81,-0.87,-0.68,14.95,14.15,13.85,15.15,14.25,13.95,10.37,9.12,8.75,0.62,-3.88
NGC6388,-14.44,-6.74,11.9,4.8,11.5,-3.0,-1.4,0.44,15.38,-0.61,-0.42,14.90,14.27,14.17,15.18,14.47,14.33,10.24,9.47,8.81,0.88,-3.76
NGC6401,3.45,3.98,7.7,0.8,7.7,0.5,0.5,1.10,14.43,-1.37,-1.20,-,-,-,-,-,-,10.21,9.07,8.67,-,-3.42
NGC6440,7.73,3.80,8.2,1.2,8.1,1.1,0.5,1.15,14.58,-0.49,-0.40,14.75,13.80,13.60,15.30,14.35,14.13,10.02,8.85,8.33,1.16,-3.82
NGC6441,-6.47,-5.01,13.5,5.7,13.4,-1.5,-1.2,0.52,15.65,-0.68,-0.52,15.20,14.55,14.40,15.70,14.85,14.77,10.47,9.49,9.12,1.20,-3.90
NGC6453,-4.28,-3.87,10.7,2.9,10.6,-0.8,-0.7,0.69,15.15,-1.57,-1.38,-,-,-,-,-,-,10.52,9.57,9.33,-,-3.57
NGC6522,1.02,-3.93,7.4,0.8,7.3,0.1,-0.5,0.66,14.34,-1.52,-1.33,-,-,-,-,-,-,9.77,8.80,8.49,-,-3.43
NGC6528,1.14,-4.17,7.5,0.8,7.5,0.1,-0.5,0.62,14.37,-0.17,+0.04,14.15,-,13.35,15.10,-,14.05,9.16,-,7.85,1.74,-4.06
NGC6539,20.80,6.78,8.4,3.1,7.8,3.0,1.0,1.08,14.63,-0.79,-0.60,14.65,13.85,13.65,14.90,14.05,13.83,10.08,8.92,8.47,0.71,-3.77
NGC6540,3.29,-3.31,5.2,2.9,5.2,0.3,-0.3,0.66,13.57,-1.29,-1.10,-,-,-,-,-,-,8.73,7.90,7.58,-,-3.56
NGC6544,5.84,-2.20,2.8,5.2,2.7,0.3,-0.1,0.78,12.23,-1.19,-1.00,-,-,-,-,-,-,7.60,6.57,6.24,-,-3.57
NGC6553,5.25,-3.02,4.9,3.2,4.9,0.4,-0.3,0.84,13.46,-0.30,-0.09,13.35,-,12.40,14.05,-,13.05,8.56,-,6.92,1.28,-3.86
NGC6569,0.48,-6.68,12.0,4.2,11.9,0.1,-1.4,0.49,15.40,-0.85,-0.66,14.95,14.40,14.25,14.93,14.23,14.08,10.52,9.49,9.21,0.55,-3.59
NGC6624,2.79,-7.91,8.4,1.3,8.3,0.4,-1.2,0.28,14.63,-0.63,-0.48,13.95,13.40,13.25,14.45,13.60,13.65,9.30,8.37,8.08,1.07,-3.85
NGC6637,1.70,-10.30,9.4,2.1,9.3,1.3,-1.2,0.14,14.87,-0.77,-0.57,14.05,13.65,13.55,14.28,13.78,13.65,9.91,9.08,8.72,0.69,-3.34
NGC6638,7.90,-7.15,10.3,2.9,10.2,0.3,-1.18,0.43,15.07,-1.00,-0.78,14.65,14.05,13.85,14.45,13.73,13.58,9.86,8.89,8.61,0.49,-3.88
NGC6642,9.81,-6.44,8.6,1.8,8.4,1.5,-1.0,0.60,14.68,-1.20,-0.99,-,-,-,13.85,13.17,-,9.92,8.92,-,-,-
Terzan1,-2.43,1.00,6.6, 1.5,6.5,-0.3,0.1,1.99,14.13,-1.11,-0.91,15.00,13.85,13.50,14.60,13.60,13.10,10.35,8.91,8.39,0.18,-3.78
Terzan2,-3.68,2.30,7.4,0.8,7.3,-0.5,0.3,1.87,14.35,-0.72,-0.53,15.00,14.00,13.60,15.23,14.30,13.80,10.46,8.98,8.51,0.60,-3.81
Terzan3,-14.92,9.19,8.1,2.4,7.7,-2.1,1.3,0.73,14.54,-0.82,-0.63,14.27,13.57,13.42,14.37,13.73,13.50,9.95,8.91,8.42,0.54,-3.47
Terzan4,-3.98,1.31,6.7,1.4,6.6,-0.5,0.2,2.05,14.13,-1.58,-1.37,-,-,-,-,-,-,10.69,9.33,8.84,-,-3.57
Terzan5,3.81,1.67,5.9,2.1,5.9,0.4,0.2,2.38,13.87,-0.34,-0.14,15.15,13.80,13.35,15.75,14.50,13.90,10.25,8.68,7.99,1.32,-3.96
Terzan6,-1.43,-2.16,6.7,1.3,6.7,-0.2,-0.3,2.35,14.13,-0.62,-0.43,15.10,14.07,13.48,15.75,14.45,14.00,10.56,9.06,8.33,1.01,-3.89
Terzan9,3.60,-1.99,5.6,2.5,5.5,0.3,-0.2,1.79,13.73,-1.21,-1.01,-,-,-,-,-,-,9.80,8.54,8.13,-,-3.86
HP1,-2.58,2.12,6.8,1.3,6.8,-0.3,0.3,1.18,14.17,-1.12,-0.91,-,-,-,-,-,-,9.89,8.68,8.28,-,-3.56
Liller1,-5.16,-0.16,7.9,0.7,7.8,-0.7,0.0,3.09,14.48,-0.36,-0.14,16.25,14.80,14.25,17.00,15.30,14.95,11.55,9.62,8.69,1.21,-3.81
Dorg1,-3.33,-2.48,13.5,5.5,13.4,-0.8,-0.6,1.58,15.65,-1.51,-1.31,-,-,-,-,-,-,11.72,10.54,10.15,-,-3.68
Dorg2,2.76,-2.51,7.0,1.1,7.0,0.3,-0.3,0.94,14.23,-0.65,-0.45,14.10,13.40,13.15,14.40,13.75,13.40,9.79,8.70,8.16,0.73,-3.50
